"","acc","tpr","fpr","dt","maxdepth","minbucket","minsplit","model"
"1",0.208182912154031,1,1,0.01,5,50,20,"5-50-20"
"2",0.208182912154031,1,1,0.02,5,50,20,"5-50-20"
"3",0.208182912154031,1,1,0.03,5,50,20,"5-50-20"
"4",0.208182912154031,1,1,0.04,5,50,20,"5-50-20"
"5",0.208182912154031,1,1,0.05,5,50,20,"5-50-20"
"6",0.208182912154031,1,1,0.06,5,50,20,"5-50-20"
"7",0.208182912154031,1,1,0.07,5,50,20,"5-50-20"
"8",0.208182912154031,1,1,0.08,5,50,20,"5-50-20"
"9",0.208182912154031,1,1,0.09,5,50,20,"5-50-20"
"10",0.208182912154031,1,1,0.1,5,50,20,"5-50-20"
"11",0.756718812675491,0.653179190751445,0.216058763931104,0.11,5,50,20,"5-50-20"
"12",0.756718812675491,0.653179190751445,0.216058763931104,0.12,5,50,20,"5-50-20"
"13",0.756718812675491,0.653179190751445,0.216058763931104,0.13,5,50,20,"5-50-20"
"14",0.756718812675491,0.653179190751445,0.216058763931104,0.14,5,50,20,"5-50-20"
"15",0.756718812675491,0.653179190751445,0.216058763931104,0.15,5,50,20,"5-50-20"
"16",0.756718812675491,0.653179190751445,0.216058763931104,0.16,5,50,20,"5-50-20"
"17",0.756718812675491,0.653179190751445,0.216058763931104,0.17,5,50,20,"5-50-20"
"18",0.756718812675491,0.653179190751445,0.216058763931104,0.18,5,50,20,"5-50-20"
"19",0.756718812675491,0.653179190751445,0.216058763931104,0.19,5,50,20,"5-50-20"
"20",0.756718812675491,0.653179190751445,0.216058763931104,0.2,5,50,20,"5-50-20"
"21",0.756718812675491,0.653179190751445,0.216058763931104,0.21,5,50,20,"5-50-20"
"22",0.822904131568391,0.529865125240848,0.100050658561297,0.22,5,50,20,"5-50-20"
"23",0.822904131568391,0.529865125240848,0.100050658561297,0.23,5,50,20,"5-50-20"
"24",0.822904131568391,0.529865125240848,0.100050658561297,0.24,5,50,20,"5-50-20"
"25",0.822904131568391,0.529865125240848,0.100050658561297,0.25,5,50,20,"5-50-20"
"26",0.822904131568391,0.529865125240848,0.100050658561297,0.26,5,50,20,"5-50-20"
"27",0.822904131568391,0.529865125240848,0.100050658561297,0.27,5,50,20,"5-50-20"
"28",0.822904131568391,0.529865125240848,0.100050658561297,0.28,5,50,20,"5-50-20"
"29",0.830926594464501,0.500963391136802,0.0823201621073961,0.29,5,50,20,"5-50-20"
"30",0.844163658243081,0.44990366088632,0.0521783181357649,0.3,5,50,20,"5-50-20"
"31",0.846169273967108,0.415221579961464,0.0405268490374873,0.31,5,50,20,"5-50-20"
"32",0.846169273967108,0.415221579961464,0.0405268490374873,0.32,5,50,20,"5-50-20"
"33",0.846169273967108,0.415221579961464,0.0405268490374873,0.33,5,50,20,"5-50-20"
"34",0.846169273967108,0.415221579961464,0.0405268490374873,0.34,5,50,20,"5-50-20"
"35",0.846169273967108,0.415221579961464,0.0405268490374873,0.35,5,50,20,"5-50-20"
"36",0.846169273967108,0.415221579961464,0.0405268490374873,0.36,5,50,20,"5-50-20"
"37",0.846169273967108,0.415221579961464,0.0405268490374873,0.37,5,50,20,"5-50-20"
"38",0.846169273967108,0.415221579961464,0.0405268490374873,0.38,5,50,20,"5-50-20"
"39",0.846169273967108,0.415221579961464,0.0405268490374873,0.39,5,50,20,"5-50-20"
"40",0.846169273967108,0.415221579961464,0.0405268490374873,0.4,5,50,20,"5-50-20"
"41",0.846169273967108,0.415221579961464,0.0405268490374873,0.41,5,50,20,"5-50-20"
"42",0.846169273967108,0.415221579961464,0.0405268490374873,0.42,5,50,20,"5-50-20"
"43",0.846169273967108,0.415221579961464,0.0405268490374873,0.43,5,50,20,"5-50-20"
"44",0.846169273967108,0.415221579961464,0.0405268490374873,0.44,5,50,20,"5-50-20"
"45",0.846169273967108,0.415221579961464,0.0405268490374873,0.45,5,50,20,"5-50-20"
"46",0.846169273967108,0.415221579961464,0.0405268490374873,0.46,5,50,20,"5-50-20"
"47",0.846169273967108,0.415221579961464,0.0405268490374873,0.47,5,50,20,"5-50-20"
"48",0.846169273967108,0.415221579961464,0.0405268490374873,0.48,5,50,20,"5-50-20"
"49",0.846169273967108,0.415221579961464,0.0405268490374873,0.49,5,50,20,"5-50-20"
"50",0.846169273967108,0.415221579961464,0.0405268490374873,0.5,5,50,20,"5-50-20"
"51",0.846169273967108,0.415221579961464,0.0405268490374873,0.51,5,50,20,"5-50-20"
"52",0.846169273967108,0.415221579961464,0.0405268490374873,0.52,5,50,20,"5-50-20"
"53",0.846169273967108,0.415221579961464,0.0405268490374873,0.53,5,50,20,"5-50-20"
"54",0.846169273967108,0.415221579961464,0.0405268490374873,0.54,5,50,20,"5-50-20"
"55",0.845166466105094,0.357418111753372,0.0265957446808511,0.55,5,50,20,"5-50-20"
"56",0.845166466105094,0.357418111753372,0.0265957446808511,0.56,5,50,20,"5-50-20"
"57",0.845166466105094,0.357418111753372,0.0265957446808511,0.57,5,50,20,"5-50-20"
"58",0.845166466105094,0.357418111753372,0.0265957446808511,0.58,5,50,20,"5-50-20"
"59",0.845166466105094,0.357418111753372,0.0265957446808511,0.59,5,50,20,"5-50-20"
"60",0.845166466105094,0.357418111753372,0.0265957446808511,0.6,5,50,20,"5-50-20"
"61",0.845166466105094,0.357418111753372,0.0265957446808511,0.61,5,50,20,"5-50-20"
"62",0.845166466105094,0.357418111753372,0.0265957446808511,0.62,5,50,20,"5-50-20"
"63",0.845166466105094,0.357418111753372,0.0265957446808511,0.63,5,50,20,"5-50-20"
